sepal feature,petal feature,class
4.3,0.7999999999999999,Iris-setosa
3.95,0.7999999999999999,Iris-setosa
3.95,0.75,Iris-setosa
3.8499999999999996,0.85,Iris-setosa
4.3,0.7999999999999999,Iris-setosa
4.65,1.05,Iris-setosa
4.0,0.85,Iris-setosa
4.2,0.85,Iris-setosa
3.6500000000000004,0.7999999999999999,Iris-setosa
4.0,0.8,Iris-setosa
4.550000000000001,0.85,Iris-setosa
4.1,0.9,Iris-setosa
3.9,0.75,Iris-setosa
3.65,0.6000000000000001,Iris-setosa
4.9,0.7,Iris-setosa
5.050000000000001,0.95,Iris-setosa
4.65,0.8500000000000001,Iris-setosa
4.3,0.85,Iris-setosa
4.75,1.0,Iris-setosa
4.449999999999999,0.9,Iris-setosa
4.4,0.95,Iris-setosa
4.4,0.95,Iris-setosa
4.1,0.6,Iris-setosa
4.199999999999999,1.1,Iris-setosa
4.1,1.05,Iris-setosa
4.0,0.9,Iris-setosa
4.2,1.0,Iris-setosa
4.35,0.85,Iris-setosa
4.3,0.7999999999999999,Iris-setosa
3.95,0.9,Iris-setosa
3.95,0.9,Iris-setosa
4.4,0.95,Iris-setosa
4.65,0.8,Iris-setosa
4.85,0.7999999999999999,Iris-setosa
4.0,0.8,Iris-setosa
4.1,0.7,Iris-setosa
4.5,0.75,Iris-setosa
4.0,0.8,Iris-setosa
3.7,0.75,Iris-setosa
4.25,0.85,Iris-setosa
4.25,0.8,Iris-setosa
3.4,0.8,Iris-setosa
3.8000000000000003,0.75,Iris-setosa
4.25,1.1,Iris-setosa
4.449999999999999,1.15,Iris-setosa
3.9,0.85,Iris-setosa
4.449999999999999,0.9,Iris-setosa
3.9,0.7999999999999999,Iris-setosa
4.5,0.85,Iris-setosa
4.15,0.7999999999999999,Iris-setosa
5.1,3.05,Iris-versicolor
4.800000000000001,3.0,Iris-versicolor
5.0,3.2,Iris-versicolor
3.9,2.65,Iris-versicolor
4.65,3.05,Iris-versicolor
4.25,2.9,Iris-versicolor
4.8,3.1500000000000004,Iris-versicolor
3.6500000000000004,2.15,Iris-versicolor
4.75,2.9499999999999997,Iris-versicolor
3.95,2.65,Iris-versicolor
3.5,2.25,Iris-versicolor
4.45,2.85,Iris-versicolor
4.1,2.5,Iris-versicolor
4.5,3.05,Iris-versicolor
4.25,2.45,Iris-versicolor
4.9,2.9000000000000004,Iris-versicolor
4.3,3.0,Iris-versicolor
4.25,2.55,Iris-versicolor
4.2,3.0,Iris-versicolor
4.05,2.5,Iris-versicolor
4.550000000000001,3.3,Iris-versicolor
4.449999999999999,2.65,Iris-versicolor
4.4,3.2,Iris-versicolor
4.449999999999999,2.95,Iris-versicolor
4.65,2.8,Iris-versicolor
4.8,2.9000000000000004,Iris-versicolor
4.8,3.0999999999999996,Iris-versicolor
4.85,3.35,Iris-versicolor
4.45,3.0,Iris-versicolor
4.15,2.25,Iris-versicolor
3.95,2.45,Iris-versicolor
3.95,2.35,Iris-versicolor
4.25,2.55,Iris-versicolor
4.35,3.3499999999999996,Iris-versicolor
4.2,3.0,Iris-versicolor
4.7,3.05,Iris-versicolor
4.9,3.1,Iris-versicolor
4.3,2.85,Iris-versicolor
4.3,2.6999999999999997,Iris-versicolor
4.0,2.65,Iris-versicolor
4.05,2.8000000000000003,Iris-versicolor
4.55,3.0,Iris-versicolor
4.2,2.6,Iris-versicolor
3.65,2.15,Iris-versicolor
4.15,2.75,Iris-versicolor
4.35,2.7,Iris-versicolor
4.3,2.75,Iris-versicolor
4.55,2.8,Iris-versicolor
3.8,2.05,Iris-versicolor
4.25,2.6999999999999997,Iris-versicolor
4.8,4.25,Iris-virginica
4.25,3.5,Iris-virginica
5.05,4.0,Iris-virginica
4.6,3.6999999999999997,Iris-virginica
4.75,4.0,Iris-virginica
5.3,4.35,Iris-virginica
3.7,3.1,Iris-virginica
5.1,4.05,Iris-virginica
4.6,3.8,Iris-virginica
5.4,4.3,Iris-virginica
4.85,3.55,Iris-virginica
4.550000000000001,3.5999999999999996,Iris-virginica
4.9,3.8,Iris-virginica
4.1,3.5,Iris-virginica
4.3,3.75,Iris-virginica
4.800000000000001,3.8,Iris-virginica
4.75,3.65,Iris-virginica
5.75,4.45,Iris-virginica
5.15,4.6,Iris-virginica
4.1,3.25,Iris-virginica
5.050000000000001,4.0,Iris-virginica
4.199999999999999,3.45,Iris-virginica
5.25,4.35,Iris-virginica
4.5,3.35,Iris-virginica
5.0,3.9000000000000004,Iris-virginica
5.2,3.9,Iris-virginica
4.5,3.3,Iris-virginica
4.55,3.35,Iris-virginica
4.6,3.8499999999999996,Iris-virginica
5.1,3.7,Iris-virginica
5.1,4.0,Iris-virginica
5.85,4.2,Iris-virginica
4.6,3.9,Iris-virginica
4.55,3.3,Iris-virginica
4.35,3.5,Iris-virginica
5.35,4.199999999999999,Iris-virginica
4.85,4.0,Iris-virginica
4.75,3.65,Iris-virginica
4.5,3.3,Iris-virginica
5.0,3.75,Iris-virginica
4.9,4.0,Iris-virginica
5.0,3.6999999999999997,Iris-virginica
4.25,3.5,Iris-virginica
5.0,4.1,Iris-virginica
5.0,4.1,Iris-virginica
4.85,3.75,Iris-virginica
4.4,3.45,Iris-virginica
4.75,3.6,Iris-virginica
4.8,3.85,Iris-virginica
4.45,3.4499999999999997,Iris-virginica
